url,file,review_title,sidebar_shows,error_type,notes
https://nitrateonline.com/2001/rfamous.html,2001/rfamous.html,Everybody's Famous,Almost Famous (2000),Wrong film,Review is about Flemish comedy; sidebar shows Cameron Crowe film
https://nitrateonline.com/2001/rheavy-2.html,2001/rheavy-2.html,Heavy Metal Parking Lot,The Animated Heavy Metal Parking Lot (2008),Wrong film,Review is about 1986 documentary; sidebar shows 2008 animated short
https://nitrateonline.com/2001/rdown.html,2001/rdown.html,Down to Earth,Down with Love (2003),Wrong film,Review is about Chris Rock comedy; sidebar shows Renée Zellweger romantic comedy
https://nitrateonline.com/2001/rbattle.html,2001/rbattle.html,Battle Royale,Pachinko Battle Royale (2001),Wrong film,Different films with similar names
https://nitrateonline.com/2001/rjazz.html,2001/rjazz.html,Jazz,Great Pirates -Revenge in the Caribbean- / Jazzmania (2001),Wrong film,Sidebar shows unrelated film combination
https://nitrateonline.com/1998/rphantom.html,1998/rphantom.html,Phantoms (1998),Star Wars: Episode I - The Phantom Menace (1999),Wrong film,Director and year mismatch; names share "Phantom" root
https://nitrateonline.com/2000/rvisit.html,2000/rvisit.html,The Visit,Cain and Mabel (1936),Wrong film,Completely unrelated films; 64-year gap
https://nitrateonline.com/2000/rbeyondmat.html,2000/rbeyondmat.html,Beyond the Mat,The Animatrix (2003),Wrong film,Documentary vs animation; 3-year gap
https://nitrateonline.com/2002/rfighter.html,2002/rfighter.html,Fighter,On Sight (2008),Wrong film,Completely different films; 6-year gap
https://nitrateonline.com/2004/rnoi.html,2004/rnoi.html,NOI,Tokyo Noir (2004),Wrong film,Different films with similar titles
https://nitrateonline.com/1996/rscarlet.html,1996/rscarlet.html,The Scarlet Letter,Scarlet Diva (2000),Wrong film,Review is about 1995 Demi Moore film; sidebar shows 2000 Italian film
https://nitrateonline.com/2000/raffair.html,2000/raffair.html,An Affair of Love,The Affair of the Necklace (2001),Wrong film,Different films with similar titles
https://nitrateonline.com/2004/radored.html,2004/radored.html,Adored,Som de Adoradores (Ao Vivo) (2004),Wrong film,Review is about a film; sidebar shows a live music album
https://nitrateonline.com/2004/rhide.html,2004/rhide.html,Hiding and Seeking,Kakurenbo: Hide & Seek (2004),Wrong film,Possibly different films with similar titles
https://nitrateonline.com/2001/rbehind.html,2001/rbehind.html,Left Behind,Left Behind (2014),Wrong version,Review is about 2001 TV movie; sidebar shows 2014 Nicolas Cage film
https://nitrateonline.com/2001/fwaking.html,2001/fwaking.html,Waking Life (interview),Mulholland Drive - Interview with Justin Theroux (2001),Wrong feature sidebar,Linklater interview page showing Lynch/Theroux interview in sidebar
https://nitrateonline.com/2001/faardman.html,2001/faardman.html,Aardman vs. Bolex (interview),Mulholland Drive - Interview with Justin Theroux (2001),Wrong feature sidebar,Aardman animation interview page showing Lynch/Theroux interview in sidebar
